easyocr,image,levenstein,jaro,damerau,hamming,rating
"50 кг 8т 'безопасности safety requirements требования cenenт fuliycompues wпh цекент соотестбет 6o5t 51109-7016 and #езашиинилмгостiiiga-7016 gost 30505-2013 stan dards 22 aroct 50515-2013 области применения application ~indoor kalls and ficorscomstruetiom возаеденаесекполов hasonryand plaster mori5 ехлтреннах покещеныя еюизвосство кладачных [лълррньхрдeot storage rules правилахранения siore ikdy roofed номерсертификам срок еодеяствия хвниьв охих #cune 0akpewing знакрct ыкодоргана bыиquео келых гомешенинх as notauowed сертиоикаси наеоксэойстороне уепажнеnе паковаи недопускеicя примеры приготовления строительных смесей ш0г и ште]еалдннемподы тшатегьно ₽аjvешаъ сwуюатесь фоqма упанлля охи<матеррала= дfйприютовпеним cnel^ необyодино учытымать @ нмсоющлам ностыптоа nшeя адреспромеводства: а5a oтоaetoww центральный офис продаж   ceniralsales ofпce ""40 севроцекент пзп eukochmei ghcjpjsc 'россило мя оедер цир 107045 mcouovnfer s bu1 москяи /головкн пер,д > cip1 woscow russln fedefton 107043 [teл +7(495) 737 55 00 'fhone 7 (495) 757 5500 гдекупить евроцемент wwwjeurocementru болыъе 8 800 700 63 63 еесплдлтнан гtия пиния pap",paper-4,-0.4970527930862851,-0.19195455986653168,0.04447677470959171,-0.05990321775323548,0.7275886561464286
nwi пескобеток [-з0б иихая сиви аокг,paper-1,0.6933416221799215,-0.493218547139175,-0.5110416309284034,-2.234671086972946,0.07620333790914575
"ны ement ппромемеит 1p сспц 500-д20 ~ # |_= расотающиху 56 ' 7o сшпьcьau ccеeu idag 'm цемент 0 сспц 500-д20 5 & # 9 mkd ~ @ 6 oтi recomatenal basic гэ-о3 2pe uro emment 1 e ташэ 2 чнтwапоааа дпашe aum ozt-oog 5у54ы п,э? ahewe noam дкеин oiseq oun [ераешоза ozl-oog пшээ цhenei uxaj напо lneh",paper-2,0.5388751489157677,0.3709399875523105,-3.1101670767128686,0.5263931686435737,0.5575807009125722
"птомагад шапukulurn адотвск рассмg; баикортостан тожничестыц аnscm tukhnlchaskaya stract цнahкor 457710 еulа telflx +7/3473) 29-76-20,29-79-14 солекальрованшая soda ash tecical grade ₽ (lilmj fоct /gbst 5 um-85 497-19 8 cas iupac mame: sanium carbonate нettо net weisht 25 кг kg сделано россин | аdе ru5s a внимание warming imltlnn dеr , eruturllmy fmauilen; стuзем-ly м1 маtы 1э gлау 19 ea: carlnua iruatlen adnicьatta споцiпъный продстапнталь странах eс mhospgclai dupuly kartk europa b:v oslo 1 2993 lm earomdmcht tha ncthorantls tgll 'бросаты (a эзштпъvi 'lmdег: macca futaa #menъ щэтnи соuты 2111ва1ч",paper-3,0.1240831465237108,-0.7132263747985532,0.7346641321989215,-0.6479278797069438,-0.3000199491456298
"660 muk халевол ocп 3 e1 2500x1250x12 ty 5534-601-79787960-2017 25,09.2013 05:15",wood-16,0.166189025846287,-0.4473478388812616,1.0246943601830876,-1.7828440957648843,0.9117271438964143
,wood-17,1.1259165247353586,1.1929641867489686,-1.3669619189943016,-1.0301348523019034,-0.21420960980767112
4269,wood-15,1.0865798226485706,0.5135301166404376,-1.2498291979472682,-0.11966271239293594,-0.9646658934548775
"mm ""yлыи лh? 9y2onyu2e4-умеэмь гост f) t 5574-mr79797754-7005 !! 2 41f 05 %",wood-14,-1.14556880518723,2.281876397397703,-0.8930926802311737,0.602606722175103,-1.2210974736842144
-1276 2 -п14 krdndpol kraneply en 1зb86-dse<s-en 3ud e1-wk,wood-10,1.4346382933024002,-0.3060767294864656,-1.130899096533846,-0.45971101281647,-0.4731829862486551
ncrbord ш la sarre quebec: gзnзsa ~ww norcora com < 8,wood-11,0.2448992271382655,-0.14859030934563802,1.4042356775141316,0.41226323575580404,-0.9205536892766663
